,Unnamed: 0,Locations,capacity_solar,cf_solar,reg_mult_solar,capacity_wind,cf_wind,reg_mult_wind,latitude,longitude,county,capacity_geo,cf_geo,state,reg_mult,trans_dist_orig,trans_dist,telecom_dist,water_price,location,clim_zone,state_id,total_capacity
0,52218,73480,4234.64,0.34,0.93,294.0,0.43,1.01,32.2,-102.97,Andrews,0.0,0.0,Texas,0.93,40.04,369.6,49.76,3.7857142857142856,48003,3B,48,4528.64
1,54319,77344,3912.38,0.26,0.88,264.0,0.38,0.95,31.4,-94.79,Angelina,202.46,0.99,Texas,0.88,83.46,508.6,4.92,3.7857142857142856,48005,2B,48,4378.84
2,58269,90245,1804.19,0.29,0.88,246.0,0.44,0.95,28.0,-97.14,Aransas,65.1,0.99,Texas,0.88,82.58,746.75,8.8,3.7857142857142856,48007,2B,48,2115.29
3,49011,68572,4139.06,0.3,0.93,288.0,0.49,1.0,33.65,-98.93,Archer,50.34,0.99,Texas,0.93,110.58,280.75,22.43,3.7857142857142856,48009,3B,48,4477.400000000001
4,57876,87572,4143.64,0.29,0.89,276.0,0.39,0.96,28.68,-98.74,Atascosa,250.43,0.99,Texas,0.89,58.56,663.43,32.97,3.7857142857142856,48013,2B,48,4670.070000000001
5,56881,83031,3970.24,0.28,0.87,276.0,0.42,0.94,29.91,-96.42,Austin,298.28,0.99,Texas,0.87,50.62,631.03,7.97,3.7857142857142856,48015,2B,48,4544.5199999999995
6,47066,65881,4236.67,0.33,0.94,288.0,0.43,1.02,34.18,-103.03,Bailey,0.0,0.0,Texas,0.94,74.57,214.86,23.06,3.7857142857142856,48017,4B,48,4524.67
7,56857,83007,4218.96,0.29,0.89,294.0,0.44,0.97,29.86,-99.4,Bandera,0.0,0.0,Texas,0.89,53.17,561.95,8.7,3.7857142857142856,48019,2B,48,4512.96
8,56308,81505,4042.33,0.28,0.87,282.0,0.43,0.95,30.31,-97.18,Bastrop,268.09,0.99,Texas,0.87,21.99,578.6,7.27,3.7857142857142856,48021,2B,48,4592.42
9,49528,69329,4137.96,0.31,0.92,318.0,0.51,1.0,33.44,-99.31,Baylor,203.63,0.99,Texas,0.92,115.69,284.27,17.47,3.7857142857142856,48023,3B,48,4659.59
10,58060,88721,4129.02,0.29,0.88,264.0,0.41,0.95,28.4,-97.63,Bee,321.3,0.99,Texas,0.88,36.61,706.01,13.47,3.7857142857142856,48025,2B,48,4714.320000000001
11,57108,83772,4073.81,0.29,0.89,288.0,0.45,0.96,29.68,-98.78,Bexar,0.0,0.0,Texas,0.89,12.5,585.98,5.69,3.7857142857142856,48029,2B,48,4361.8099999999995
12,56146,81114,4226.54,0.3,0.89,294.0,0.5,0.96,30.38,-98.55,Blanco,0.0,0.0,Texas,0.89,51.66,536.35,14.29,3.7857142857142856,48031,3B,48,4520.54
13,51511,72352,4223.51,0.33,0.93,282.0,0.43,1.0,32.58,-101.46,Borden,0.0,0.0,Texas,0.93,22.22,329.58,29.33,3.7857142857142856,48033,3B,48,4505.51
14,52927,74661,4144.97,0.29,0.9,288.0,0.51,0.97,32.09,-97.72,Bosque,226.13,0.99,Texas,0.9,55.03,434.19,5.34,3.7857142857142856,48035,2B,48,4659.1
15,49563,69364,3861.44,0.27,0.91,270.0,0.4,0.97,33.48,-94.75,Bowie,188.49,0.99,Texas,0.91,57.94,352.23,8.42,3.7857142857142856,48037,3B,48,4319.93
16,57503,85317,3836.27,0.28,0.86,264.0,0.37,0.94,29.31,-95.68,Brazoria,101.36,0.99,Texas,0.86,17.4,687.15,9.92,3.7857142857142856,48039,2B,48,4201.63
17,55446,79612,4033.7,0.28,0.87,270.0,0.41,0.95,30.81,-96.3,Brazos,231.69,0.99,Texas,0.87,70.74,574.31,16.64,3.7857142857142856,48041,2B,48,4535.389999999999
18,56956,83352,4255.44,0.35,0.93,330.0,0.26,1.01,29.56,-103.72,Brewster,446.96,0.99,Texas,0.93,115.83,588.84,31.94,3.7857142857142856,48043,3B,48,5032.4
19,45917,64376,4234.37,0.31,0.94,276.0,0.34,1.02,34.67,-101.09,Briscoe,0.0,0.0,Texas,0.94,82.92,157.06,32.92,3.7857142857142856,48045,4B,48,4510.37
20,55632,79989,4072.89,0.28,0.87,276.0,0.41,0.95,30.71,-96.68,Burleson,324.64,0.99,Texas,0.87,66.73,567.08,19.99,3.7857142857142856,48051,2B,48,4673.53
21,55056,78836,4230.07,0.3,0.89,288.0,0.53,0.97,30.99,-98.32,Burnet,0.0,0.0,Texas,0.89,59.49,496.21,18.26,3.7857142857142856,48053,3B,48,4518.07
22,52701,74267,4196.98,0.31,0.91,300.0,0.54,0.98,32.15,-99.51,Callahan,0.0,0.0,Texas,0.91,88.74,380.32,25.53,3.7857142857142856,48059,3B,48,4496.98
23,50829,71262,3761.19,0.28,0.9,264.0,0.41,0.97,32.99,-95.02,Camp,225.64,0.99,Texas,0.9,35.24,396.8,7.29,3.7857142857142856,48063,3B,48,4250.83
24,43519,61334,4187.96,0.32,0.94,330.0,0.56,1.02,35.44,-101.42,Carson,0.0,0.0,Texas,0.94,134.25,90.13,7.08,3.7857142857142856,48065,4B,48,4517.96
25,46488,65125,4165.79,0.33,0.94,294.0,0.51,1.02,34.41,-102.53,Castro,0.0,0.0,Texas,0.94,63.12,185.12,21.64,3.7857142857142856,48069,4B,48,4459.79
26,46507,65144,4105.76,0.31,0.94,300.0,0.48,1.01,34.51,-100.02,Childress,240.72,0.99,Texas,0.94,73.09,183.35,22.33,3.7857142857142856,48075,3B,48,4646.4800000000005
27,49242,68921,4226.77,0.34,0.94,294.0,0.48,1.02,33.39,-102.96,Cochran,0.0,0.0,Texas,0.94,31.17,274.53,26.15,3.7857142857142856,48079,4B,48,4520.77
28,53307,75398,4237.85,0.32,0.91,348.0,0.51,0.99,31.82,-100.64,Coke,0.0,0.0,Texas,0.91,57.91,394.94,16.5,3.7857142857142856,48081,3B,48,4585.85
29,53898,76547,4201.58,0.31,0.9,282.0,0.42,0.98,31.56,-99.48,Coleman,0.0,0.0,Texas,0.9,130.43,427.74,28.78,3.7857142857142856,48083,3B,48,4483.58
30,50315,70492,4080.94,0.28,0.91,288.0,0.5,0.98,33.19,-96.31,Collin,98.98,0.99,Texas,0.91,1.31,426.9,6.49,3.7857142857142856,48085,3B,48,4467.92
31,45631,64004,4192.41,0.31,0.94,288.0,0.48,1.02,34.81,-100.04,Collingsworth,222.56,0.99,Texas,0.94,132.31,159.82,21.71,3.7857142857142856,48087,3B,48,4702.97
32,57005,83411,4126.92,0.28,0.87,282.0,0.41,0.94,29.81,-96.42,Colorado,319.76,0.99,Texas,0.87,48.93,638.0,7.22,3.7857142857142856,48089,2B,48,4728.68
33,56727,82636,4197.15,0.29,0.89,282.0,0.44,0.96,29.99,-98.29,Comal,0.0,0.0,Texas,0.89,33.89,571.99,10.8,3.7857142857142856,48091,2B,48,4479.15
34,45642,64015,4239.32,0.3,0.93,324.0,0.56,1.01,34.84,-98.58,Comanche,0.0,0.0,Oklahoma,0.93,77.21,218.15,84.06,3.7857142857142856,48093,3B,48,4563.32
35,54469,77682,4235.12,0.31,0.91,324.0,0.52,0.98,31.24,-100.1,Concho,0.0,0.0,Texas,0.91,91.03,445.12,9.24,3.7857142857142856,48095,3B,48,4559.12
36,49024,68585,4167.42,0.29,0.92,294.0,0.5,0.99,33.68,-97.23,Cooke,0.0,0.0,Texas,0.92,15.17,352.67,5.72,3.7857142857142856,48097,3B,48,4461.42
37,54106,76942,4176.61,0.29,0.89,288.0,0.5,0.96,31.5,-97.58,Coryell,137.66,0.99,Texas,0.89,43.66,480.88,20.12,3.7857142857142856,48099,2B,48,4602.2699999999995
38,47934,67043,4216.66,0.31,0.93,294.0,0.47,1.01,34.01,-100.12,Cottle,212.57,0.99,Texas,0.93,48.29,220.8,19.01,3.7857142857142856,48101,3B,48,4723.23
39,54258,77283,4223.46,0.34,0.93,300.0,0.41,1.0,31.23,-102.5,Crane,0.0,0.0,Texas,0.93,10.04,442.0,22.08,3.7857142857142856,48103,3B,48,4523.46
40,49255,68934,4207.5,0.32,0.93,282.0,0.45,1.01,33.48,-101.27,Crosby,0.0,0.0,Texas,0.93,31.96,255.46,20.36,3.7857142857142856,48107,3B,48,4489.5
41,54813,78404,4253.5,0.35,0.94,294.0,0.33,1.01,30.78,-104.85,Culberson,503.56,0.99,Texas,0.94,94.91,520.85,29.21,3.7857142857142856,48109,3B,48,5051.06
42,40081,57147,4240.08,0.32,0.94,318.0,0.51,1.03,36.48,-102.45,Dallam,0.0,0.0,Texas,0.94,51.19,37.77,46.06,3.7857142857142856,48111,4B,48,4558.08
43,44115,62083,4240.5,0.33,0.94,324.0,0.52,1.03,35.18,-102.87,Deaf Smith,0.0,0.0,Texas,0.94,126.33,135.39,49.51,3.7857142857142856,48117,4B,48,4564.5
44,49803,69728,4168.57,0.29,0.92,288.0,0.47,0.98,33.39,-96.84,Denton,0.0,0.0,Texas,0.92,33.6,389.28,12.15,3.7857142857142856,48121,3B,48,4456.57
45,57634,86065,4111.35,0.28,0.87,288.0,0.4,0.95,29.11,-97.16,Dewitt,427.32,0.99,Texas,0.87,84.97,665.76,13.93,3.7857142857142856,48123,2B,48,4826.67
46,48731,68179,4241.56,0.32,0.93,300.0,0.52,1.01,33.7,-100.63,Dickens,0.0,0.0,Texas,0.93,15.99,240.41,22.57,3.7857142857142856,48125,3B,48,4541.56
47,58098,89085,4137.99,0.3,0.89,270.0,0.41,0.96,28.25,-99.58,Dimmit,477.65,0.99,Texas,0.89,110.1,685.6,43.42,3.7857142857142856,48127,2B,48,4885.639999999999
48,45333,63620,4227.87,0.31,0.94,288.0,0.49,1.02,34.89,-100.57,Donley,0.0,0.0,Texas,0.94,111.82,142.42,11.97,3.7857142857142856,48129,4B,48,4515.87
49,52253,73515,4194.6,0.3,0.9,300.0,0.53,0.98,32.37,-98.49,Eastland,0.0,0.0,Texas,0.9,84.42,388.06,24.42,3.7857142857142856,48133,3B,48,4494.6
50,53093,75001,4208.46,0.34,0.93,288.0,0.45,1.01,31.81,-102.81,Ector,0.0,0.0,Texas,0.93,18.02,398.41,27.75,3.7857142857142856,48135,3B,48,4496.46
51,41379,58685,4195.11,0.31,0.94,300.0,0.56,1.02,36.19,-99.98,Ellis,151.2,0.99,Oklahoma,0.94,38.08,73.35,13.61,3.7857142857142856,48139,3B,48,4646.3099999999995
52,52428,73836,4221.68,0.35,0.94,294.0,0.38,1.02,31.89,-106.01,El Paso,474.01,0.99,Texas,0.94,16.11,484.22,41.63,3.7857142857142856,48141,5B,48,4989.6900000000005
53,52925,74659,4168.7,0.3,0.9,300.0,0.5,0.97,32.09,-97.97,Erath,0.0,0.0,Texas,0.9,67.84,425.61,15.18,3.7857142857142856,48143,3B,48,4468.7
54,54687,78089,4138.7,0.28,0.88,264.0,0.44,0.95,31.21,-96.68,Falls,311.37,0.99,Texas,0.88,86.87,533.02,5.75,3.7857142857142856,48145,2B,48,4714.07
55,51033,71599,4222.85,0.32,0.92,294.0,0.5,1.0,32.81,-100.57,Fisher,0.0,0.0,Texas,0.92,27.34,314.0,12.33,3.7857142857142856,48151,3B,48,4516.85
56,48472,67804,4211.89,0.31,0.93,288.0,0.48,1.01,33.82,-99.98,Foard,182.89,0.99,Texas,0.93,50.67,238.95,37.04,3.7857142857142856,48155,3B,48,4682.780000000001
57,57336,84555,4061.06,0.28,0.86,252.0,0.4,0.94,29.51,-95.93,Fort Bend,98.42,0.99,Texas,0.86,28.25,675.79,5.45,3.7857142857142856,48157,2B,48,4411.48
58,53536,75811,4000.0,0.28,0.89,282.0,0.45,0.96,31.8,-96.44,Freestone,312.43,0.99,Texas,0.89,61.38,503.93,2.67,3.7857142857142856,48161,2B,48,4594.43
59,57812,87190,4195.02,0.29,0.89,282.0,0.4,0.96,28.77,-98.99,Frio,242.0,0.99,Texas,0.89,57.72,652.42,18.16,3.7857142857142856,48163,2B,48,4719.02
60,50767,71200,4209.9,0.34,0.93,294.0,0.45,1.01,32.79,-103.03,Gaines,0.0,0.0,Texas,0.93,19.1,323.4,29.06,3.7857142857142856,48165,3B,48,4503.9
61,57342,84561,3431.43,0.28,0.86,150.0,0.38,0.94,29.51,-95.19,Galveston,50.03,0.99,Texas,0.86,11.62,661.2,1.4,3.7857142857142856,48167,2B,48,3631.46
62,50529,70832,4188.17,0.32,0.93,294.0,0.48,1.01,32.97,-101.49,Garza,0.0,0.0,Texas,0.93,52.39,297.09,28.42,3.7857142857142856,48169,3B,48,4482.17
63,55974,80728,4231.83,0.3,0.9,294.0,0.54,0.97,30.46,-99.3,Gillespie,0.0,0.0,Texas,0.9,45.11,516.22,32.37,3.7857142857142856,48171,3B,48,4525.83
64,53105,75013,4166.24,0.33,0.92,288.0,0.52,1.0,31.89,-101.28,Glasscock,0.0,0.0,Texas,0.92,17.42,385.91,27.06,3.7857142857142856,48173,3B,48,4454.24
65,57947,87961,4157.49,0.29,0.88,288.0,0.43,0.95,28.6,-97.64,Goliad,262.25,0.99,Texas,0.88,22.32,690.98,18.91,3.7857142857142856,48175,2B,48,4707.74
66,57231,84163,4107.48,0.28,0.87,282.0,0.4,0.95,29.6,-97.41,Gonzales,124.48,0.99,Texas,0.87,35.51,622.48,11.45,3.7857142857142856,48177,2B,48,4513.959999999999
67,51805,72784,3756.37,0.27,0.9,240.0,0.4,0.97,32.59,-94.77,Gregg,198.67,0.99,Texas,0.9,6.68,418.29,9.12,3.7857142857142856,48183,3B,48,4195.04
68,55637,79994,4027.45,0.28,0.87,288.0,0.4,0.94,30.71,-96.05,Grimes,416.05,0.99,Texas,0.87,55.46,590.72,4.92,3.7857142857142856,48185,2B,48,4731.5
69,45299,63586,4253.12,0.33,0.95,372.0,0.48,1.04,34.65,-105.07,Guadalupe,0.0,0.0,New Mexico,0.95,100.24,276.94,233.14,3.7857142857142856,48187,4B,48,4625.12
70,40721,57913,4209.78,0.32,0.94,318.0,0.53,1.03,36.32,-101.62,Hansford,0.0,0.0,Texas,0.94,31.04,15.31,23.88,3.7857142857142856,48195,4B,48,4527.78
71,42295,59802,4244.44,0.33,0.95,300.0,0.48,1.03,35.76,-103.06,Hartley,0.0,0.0,Texas,0.95,198.29,108.69,68.71,3.7857142857142856,48205,4B,48,4544.44
72,45079,63282,4184.14,0.26,0.93,288.0,0.42,0.99,35.06,-94.99,Haskell,353.52,0.99,Oklahoma,0.93,67.42,257.62,149.86,3.7857142857142856,48207,3B,48,4825.66
73,56443,81877,4188.48,0.29,0.89,282.0,0.52,0.96,30.19,-98.17,Hays,0.0,0.0,Texas,0.89,25.39,559.5,8.6,3.7857142857142856,48209,2B,48,4470.48
74,41692,59062,4210.75,0.31,0.94,294.0,0.55,1.02,36.08,-100.38,Hemphill,72.77,0.99,Texas,0.94,69.95,55.49,19.26,3.7857142857142856,48211,3B,48,4577.52
75,50218,70394,4211.8,0.35,0.95,270.0,0.26,1.02,32.51,-108.95,Hidalgo,789.88,0.99,New Mexico,0.95,153.86,597.07,269.42,3.7857142857142856,48215,3B,48,5271.68
76,1156,8093,4202.65,0.24,0.98,300.0,0.47,1.07,48.67,-109.53,Hill,225.24,0.99,Montana,0.98,117.41,1225.08,1599.64,3.7857142857142856,48217,6B,48,4727.889999999999
77,48454,67786,4150.28,0.33,0.93,294.0,0.48,1.01,33.72,-102.33,Hockley,0.0,0.0,Texas,0.93,23.88,237.84,16.38,3.7857142857142856,48219,4B,48,4444.28
78,52021,73142,4129.0,0.29,0.91,300.0,0.51,0.97,32.49,-97.6,Hood,202.8,0.99,Texas,0.91,25.2,411.23,9.17,3.7857142857142856,48221,3B,48,4631.8
79,53657,76118,4248.36,0.35,0.94,300.0,0.31,1.02,31.32,-105.68,Hudspeth,559.57,0.99,Texas,0.94,51.82,509.47,18.42,3.7857142857142856,48229,3B,48,5107.929999999999
80,50572,70875,4050.66,0.28,0.91,282.0,0.46,0.97,33.09,-95.92,Hunt,261.56,0.99,Texas,0.91,27.3,423.69,6.33,3.7857142857142856,48231,3B,48,4594.22
81,41997,59435,4187.01,0.32,0.94,300.0,0.5,1.02,35.94,-101.32,Hutchinson,0.0,0.0,Texas,0.94,25.32,48.04,18.67,3.7857142857142856,48233,4B,48,4487.01
82,53887,76536,4252.04,0.32,0.91,312.0,0.48,0.99,31.51,-100.87,Irion,0.0,0.0,Texas,0.91,45.63,418.34,25.66,3.7857142857142856,48235,3B,48,4564.04
83,49538,69339,4158.56,0.3,0.92,288.0,0.52,0.99,33.47,-98.01,Jack,1.39,0.99,Texas,0.92,10.65,328.94,20.99,3.7857142857142856,48237,3B,48,4447.950000000001
